순위,도서ID,도서명,저자,출판사,출간일,판매가(원),정가(원),할인율(%),평점,리뷰수,판매지수,상세페이지링크,내용
32,189212536,지적 대화를 위한 AI 언어 수업,강수진 저,어웨이크(AWAKE),2026년 05월,"18,000","20,000",10.0,10.0,1,"11,262",https://www.yes24.com/product/goods/189212536,"<B>“AI는 당신의 언어만큼 똑똑해진다.”<br/>기술의 속도에 휩쓸리지 않는 가장 완벽한 프롬프트 교과서<br/>‘국내 공채 1호 프롬프트 엔지니어’가 밝히는 ‘AI 시대, 대화의 기술’</B><br/><br/>누구나 AI를 사용하지만 모두가 원하는 답을 얻지는 못한다. 차이를 만드는 결정적 한 끗은 더 좋은 모델을 쓰는 것도, 더 많은 기법을 아는 것도 아니다. 바로 ‘언어’를 잘 다루는 것이다. 국내 공채 1호 프롬프트 엔지니어이자 언어학자인 강수진 박사는 프롬프트의 본질은 명령어 기술이 아니라 ‘좋은 대화 상대가 되는 법’에 있다고 말한다. AI 앞에서 많은 사람이 요청을 던지고 알아서 해주기를 기대하지만, 좋은 결과는 언제나 좋은 대화에서 나온다.<br/><br/>이 책은 프롬프트 기법의 목록이 아니라 대화 자체에 대한 인문학적 이해에서 출발한다. 프롬프트 입문서들이 ‘이렇게 쓰면 된다’를 알려줄 때, 이 책은 ‘왜 그렇게 써야 하는가’를 묻는다. 언어학자의 시선으로 AI의 사고 메커니즘을 해부하고, 우리가 이미 체득하고 있는 대화의 본질에서 답을 끌어낸다. 턴 테이킹, 협력 원리, 대화주의 등 인간이 언어를 통해 관계를 맺어온 방식이 AI와의 대화에도 그대로 적용된다. 기술이 아무리 빠르게 변해도 흔들리지 않는 원리가 여기에 있다.<br/><br/>기술의 언어도 함께 읽는다. AI가 토큰과 확률로 문장을 처리하는 방식, 어텐션 메커니즘이 의미를 포착하는 원리, 페르소나 설정이 확률 분포를 이동시키는 이유 등. 이 작동 방식을 이해하면 왜 어떤 프롬프트는 통하고 어떤 프롬프트는 실패하는지가 비로소 보인다. 같은 질문도 어떤 단어를 고르느냐에 따라 AI가 탐색하는 의미 공간의 영역이 완전히 달라진다. 기술을 알아야 언어 설계가 정밀해진다.<br/><br/>이 책이 특히 주목하는 것은 한국어다. 영어로 써야 더 좋은 결과가 나온다는 통념과 달리, 저자는 한국어의 특성이 오히려 정밀한 프롬프트 설계의 자산이 될 수 있음을 보여준다. 조사 하나로 문장의 강조점이 바뀌고, 존댓말이 관계의 거리를 설계하며, 말하지 않은 행간이 맥락을 만든다. 한국어는 한계가 아니라 전략이다. 이 책은 결론을 뒤로 미루는 미괄식 습관, 직접적 요구를 피하는 경향, ‘우리’라는 모호한 주어처럼 AI 대화에서 오류를 만들어내는 한국식 화법의 함정도 정면으로 짚는다. 나의 언어 습관을 직시하는 것, 그것이 더 나은 대화의 첫걸음이다.<br/><br/>이 책은 AI를 도구로 쓰는 것에 만족하지 않고, 나만의 언어로 지적 세계를 확장하려는 사람들을 위한 책이다. 최신 기법을 좇는 대신 언어라는 단단한 토대 위에서 AI를 지적 파트너로 삼고자 하는 독자, 기술의 속도에 휩쓸리지 않고 인문학적 감각으로 AI 시대를 살아가고자 하는 독자에게 이 책을 권한다. 명령의 시대는 끝났다. 이제는 대화할 시간이다."
33,189114942,바로바로 제미나이 X 구글 AI,공냥이 저,골든래빗,2026년 06월,"21,600","24,000",10.0,10.0,1,"10,233",https://www.yes24.com/product/goods/189114942,"<b>* 구글을 아직도 ‘검색’에만 쓰고 있나요? 그렇다면 당신은 아직도 자동차를 밀고 다니는 겁니다.</b><br/><b>* 제미나이·노트북LM·나노 바나나 2·플로우·스티치로 바이브 코딩까지, 구글 생태계 도구 완전 정복</b><br/><b>* 처음이어도 걱정 없이, 구글 계정 하나로 워크플로 자동화까지 완성해보세요!</b><br/><br/>오늘날 구글은 더 이상 단순한 검색 엔진 서비스가 아니다. 구글 독스·지메일·스프레드시트 같은 워크스페이스 도구에는 제미나이가 깊숙이 녹아들었고, 노트북LM은 수많은 문서와 자료를 한데 모아 대화로 답해주는 개인 AI 비서가 되었다. 이미지는 나노 바나나 2로 문장 하나만 입력하면 뚝딱 완성되며, 영상 제작은 구글의 고성능 생성 모델인 Veo 3.1이 그 과정을 돕는다. 또한, 제미나이는 구글 워크스페이스 안에서 문서 작업 시 실시간으로 내용을 수정하고 제안하는 인터랙티브 파트너 역할을 하며, 구글 AI 스튜디오에서는 코딩 지식이 없어도 대화만으로 웹 화면을 설계하는 ‘바이브 코딩’을 경험할 수 있다. 나아가 이 모든 반복 업무는 제미나이의 워크플로 자동화 기능을 통해 효율적으로 처리된다. 구글이라는 거대한 생태계 안에 이 모든 혁신이 이미 들어와 있다.<br/><br/>이 책은 구글의 다양한 서비스를 처음 접하는 분들을 위해 기획되었다. 구글 계정 생성부터 워크스페이스의 기초를 다지는 것은 물론, 제미나이, 캔버스, 딥 리서치, 노트북LM, 나노 바나나 2와 스티치, 오팔 등 핵심 AI 도구를 직접 따라 하며 손에 익히도록 구성했다. 단순히 기능만 나열하지 않고 ‘지메일에서 제미나이로 초안을 잡고, 노트북LM으로 배경 자료를 요약하며, 워크플로 자동화로 업무를 마무리하는’ 실전 시나리오를 통해 도구 간의 유기적인 연결 흐름을 보여준다. 장을 넘길 때마다 도구들이 어떻게 서로 맞물려 돌아가는지 자연스럽게 그려질 것이다.<br/><br/>책을 시작할 때는 간단한 이메일 작성으로 출발하지만, 마지막 장을 덮을 즈음에는 구글 생태계가 여러분의 업무 프로세스에 완벽히 녹아든 자동화 환경을 경험하게 된다. “AI를 써보고 싶지만 어디서부터 시작해야 할지 막막하다”고 느끼셨다면, 이 책이 그 첫 문을 열어줄 것이다. 혹시 구글 캘린더나 스프레드시트를 쓰면서 “이 작업들을 알아서 연결하고 처리해주는 방법은 없을까?”라며 답답함을 느낀 적은 없는가? 챗GPT만으로는 해결하기 힘든, 철저히 내 업무 환경에 최적화된 AI 비서가 필요하다면 이 책이 명쾌한 해답이 되어줄 것이다."
34,183538633,요즘 교사를 위한 에듀테크 수업 활용 가이드 with 2022 개정 교육과정,"박진환, 서원진, 박권 저",한빛미디어,2026년 04월,"21,600","24,000",10.0,9.9,124,"12,015",https://www.yes24.com/product/goods/183538633,"<b>에듀테크 베스트셀러 1위 집필진이 다시 뭉쳤다!</b><br/><b>수업 몰입도를 높이는 게임형 퀴즈부터 교사 업무의 짐을 덜어주는 자동화 비법까지,</b><br/><b>〈요즘 교사〉 3인이 제안하는 가장 실무적인 에듀테크 지침서</b><br/><b>* 구글 폼·시트 자동화, 따뜻한 교실 경영 AI 감정 체크인 & 맞춤형 생활 지도법 수록</b><br/><b>* 교사용 웹사이트 지원 (FOREDUCATOR)</b><br/><br/>이 책은 단순히 도구의 기능을 나열하는 대신, 선생님들이 교실 현장에서 매일 마주하는 구체적인 문제 상황을 실전 사례로 제시하고 있다. 잠자는 아이들을 깨우는 몰입형 퀴즈 수업부터 퇴근 시간을 앞당기는 업무 자동화 비법까지, 현직 교사 3인이 직접 검증한 에듀테크 솔루션을 정성껏 담아냈다.<br/><br/>특히 에듀테크 도입이 또 다른 업무가 되지 않도록 챗GPT와 앱스 스크립트를 결합해 선생님만의 맞춤형 업무 도구를 만들 수 있다. 매월 반복되는 월중 계획표를 자동으로 생성하거나 학생 개별 문서를 한 번에 만드는 자동화 시스템은 교사가 반복 업무에서 벗어나 학생 한 명 한 명에게 더 집중할 수 있는 귀한 시간을 되찾아 줄 것이다."
35,183674597,"클로드 코워크 with 스킬, 플러그인","클리커, 강민혁 저",한빛미디어,2026년 03월,"23,400","26,000",10.0,9.1,23,"12,588",https://www.yes24.com/product/goods/183674597,"<b>이 작업, AI한테 맡길 수 있지 않을까?</b><br/><b>퇴근을 앞당기는 클로드 코워크</b><br/><br/>보고서를 쓸 때마다 엑셀을 열고, 복사하고, 붙여 넣는 반복. 회의록에서 액션 아이템을 뽑아 이메일 초안까지 만드는 긴 흐름. 번거롭다는 걸 알면서도 손으로 하고 있는 일들… 이 번거로움의 정체는 하나입니다. AI가 답변을 줘도, 파일을 열고 저장까지는 안 해준다는 것이다.<br/><br/>하지만 클로드 코워크는 다르다. 폴더를 지정하면 AI가 직접 들어가서 파일을 만들고, 수정하고, 정리합니다. 챗GPT처럼 파일을 업로드하고 결과물을 다시 다운로드할 필요가 없다. ""이 폴더의 엑셀 파일들 분석해서 워드 보고서로 만들어줘."" 한마디면 된다.<br/>이 책은 클로드를 처음 써보는 분부터 업무 자동화를 본격적으로 시작하고 싶은 분까지, 코딩 없이 자연어만으로 AI를 작업 파트너로 쓰는 법을 안내한다. 클로드 기초와 설치부터, 파일·폴더 작업, 구글 드라이브·노션·슬랙 같은 외부 서비스 연결, 반복 업무 자동화, 스킬과 직무별 플러그인 활용까지 소개한다. 이 책을 하나씩 따라 하다 보면, 당신은 AI를 '써봤다'는 사람에서 '잘 쓴다'는 사람이 되어 있을 것이다."
36,191481932,"요즘 교사를 위한 구글 AI 3대장_제미나이, 노트북LM, AI 스튜디오","송명신, 최연준, 최수진, 양서현 저",앤써북,2026년 06월,"15,930","17,700",10.0,10.0,15,"5,406",https://www.yes24.com/product/goods/191481932,"<b>『요즘 교사를 위한 구글 AI 3대장』은 교사들이 가장 많이 사용하는 구글 AI 대표 3종과 보조 AI 10종의 혼합 활용법을 수업준비, 행정업무, 학급경영 3가지 큰 주제의 42가지 실습과 66가지 실전 활용 사례로 한 권에 완벽하게 담았다!</b><br/><br/>이 책은 교사가 가장 많이 활용하는 구글 AI 핵심 3종을 중심축으로 설명한다.<br/><br/>- 제미나이(Gemini): 막막한 수업과 학부모 소통, 행정 업무 전반의 고민을 줄여주는 든든한 '기획 비서'<br/>- 노트북LM(NotebookLM): 방대한 교육과정 문서와 연수 자료에서 필요한 정보만 쏙쏙 뽑아주는 정리해주는 유능한 '정리 비서'<br/>- AI 스튜디오(AI Studio): 선생님의 교육 방식과 업무 스타일에 맞춰 나만의 교육 도구를 직접 설계 및 제작할 수 있게 도와주는 '제작 비서'<br/><br/>여기에 나노바나나, 캔버스(CANVAS), 젬(Gems), 데이터베이스, 구글맵스, 구글캘린더, 구글 킵(메모), 구글 시트, 딥 리서치, 앱스스크립트 등 10가지 보조 도구까지 한 권에 담아, 핵심부터 바이브코딩 응용까지 빈틈없이 익힐 수 있습니다. 예를 들면 캔바스(CANVAS), 젬(Gems), 스튜디오 AI을 활용한 바이브코딩 방식으로 학급 운영, 수업자료, 업무 목적에 맞게 학급 운영 및 수업 맞춤형 자료, 업무 활용 자료도 직접 만들 수 있다.<br/><br/>이 책은 수업 준비 · 행정 업무 · 학급 경영 크게 세 영역에 걸쳐 내일 당장 따라 만들 수 있는 42가지 실습과 66가지 실전 활용 사례, 그리고 바로 써먹는 완전 꿀팁 44가지를 제공한다. 모둠 짜기, 회의록 요약, 학부모 총회 자료 제작, 행동발달특성 작성, 공문 실수 점검, 수준별 읽기 자료 변환, 루브릭 자동 생성, 디지털 학급 보상 상점, 특별실 예약 시스템까지. 책에 담긴 사례들은 모두 저자들이 교실 현장에서 직접 부딪히며 검증한 것들이기 때문에 누구나 학교 현장에서 즉시 활용할 수 있는 실전 중심 구글 AI 실전 활용북이다. AI가 교사를 대신하는 시대가 아니라, AI를 잘 활용하는 교사가 더 좋은 수업과 더 효율적인 업무 환경을 만드는 시대이다. 이 책은 생성형 AI 시대를 살아가는 교사들이 가장 먼저 만나야 할 실용적인 안내서이자, 미래 교육을 준비하는 든든한 동반자가 되어 줄 것이다."
37,184533580,학교에서 바로 쓰는 제미나이 & 노트북LM,"손성호, 김민, 김상백, 송유미, 박권 저 외 1명 정보 더 보기/감추기 손성호 김민 김상백 송유미 박권 최동욱",학교도서관저널,2026년 04월,"17,100","19,000",10.0,10.0,15,"12,090",https://www.yes24.com/product/goods/184533580,"과중한 업무로 교육에 집중할 수 없는 교사들에게 업무 부담을 덜고 교육 본질의 시간을 되찾아 줄 수 있는 AI 활용 방법을 알려 주는 책. 오랜 기간 교육혁신을 주도해 온 6명의 교사는 생성형 AI 2대장 제미나이와 노트북LM를 사용해 업무 효율을 높이는 구체적인 방법을 안내한다. 교사라면 누구나 손쉽게 처리하고 싶어할 만한 업무를, AI를 활용해 효과적으로 처리하는 과정을 구체적인 예를 들어 설명한다. 사업 계획서나 공문서 요약부터 웹 시스템 구축까지 상황별로 적용할 수 있는 다양한 사례 제시되어 있어서 실제 업무 환경에서 유용하게 참고할 수 있을 것이다. 많이 써본 사람만 아는 AI 활용 Tip과 프롬프트 및 자료 예시를 QR 코드로 제공하여 쉽게 따라하고 바로 현장에 적용할 수 있을 것이다."
38,184275427,세컨드 브레인은 옵시디언 with 클로드 코드,시안 저,골든래빗,2026년 04월,"23,750","25,000",5.0,9.8,37,"6,423",https://www.yes24.com/product/goods/184275427,"<b>* AI가 노트를 읽고, 쓰고, 연결한다! 옵시디언 × AI 시대의 지식 관리 완전체</b><br/><b>* 누적 조회수 100만! 생산성 유튜버 시안 저자의 압도적 개정판</b><br/><b>* 베이스, 클로드 코드, 시맨틱 검색까지, 단 한 권으로 옵시디언 200% 써먹기</b><br/>수많은 독자의 지식 관리를 혁신한 『세컨드 브레인은 옵시디언』이 AI와 함께 더 강력해져 돌아왔다. 왕초보를 위한 설치부터 기본 설정, 개발자를 위한 심화 기능까지 옵시디언을 활용해 두뇌를 200% 이상 활용할 수 있게 해주던 전작에 압도적인 무기들을 전면 추가했다. 옵시디언 매뉴얼에서 그치는 것이 아니라 정보를 저장하고 정리하는 이론인 제텔카스텐과 PARA까지 함께 설명하며 여기에 클로드 코드를 활용한 노트 자동화 노하우까지 담았다!<br/><br/><b>* 개정판에서 달라진 3가지</b><br/>전작 『세컨드 브레인은 옵시디언』에 보내주신 성원에 감사인사 드리며, 초판 출간 이후 옵시디언 생태계는 놀라울 만큼 발전했다. 강력한 데이터베이스 기능인 베이스의 등장, 그리고 AI 기술의 결합은 옵시디언을 완전히 새로운 차원으로 끌어올렸다. 전작에서 소개한 스마트 커넥션 플러그인의 AI 기능을 더욱 자유롭고 강력한 클로드 코드로 전면 교체했다. 탄탄한 핵심은 유지하되, 5개 파트 25개 챕터로 재편한 압도적인 무기 3가지를 소개한다.<br/>1. 노트를 데이터베이스로! - 베이스 코어 플러그인 기능이 추가되었다.<br/>2. AI에게 노트 관리를 맡기세요 - 클로드 코드 × 옵시디언 CLI 활용법을 소개한다.<br/>3. 의미로 노트를 검색하세요 - QMD 시맨틱 검색 구축 방법을 소개한다.<br/><br/><b>* 옵시디언이 처음이라고요? 그럼 더 반갑습니다!</b><br/><b>* 옵시디언 기능 소개, 생산성을 높이는 활용 이론까지 꽉꽉 눌러 담았다</b><br/>머릿속에 떠도는 아이디어들은 잠깐 떠올랐다가 금방 흩어져버린다. 만약 여러분에게 황금 같은 아이디어가 떠올랐다가 그냥 사라진다면 어떨까? 그런 걱정을 하고 있는 여러분에게 옵시디언을 추천한다. 옵시디언이 지식 관리를 위한 강력한 도구라는 건 이미 알고 있는 사람들은 다 알고 있는 사실이다. 다만 옵시디언의 입문을 방해하는 요소가 있다면 그건 ‘우주선 패널 같은 복잡한 첫인상'이다. 옵시디언을 시작하려는 사람에게 복잡한 메뉴와 기능은 오히려 선뜻 시작하기 어렵게 만드는 벽이다. 이 책은 그 벽을 조금이나마 낮추고 싶다는 마음으로 만들어졌다. 옵시디언 설치부터 볼트 생성, 인터페이스 조작, 마크다운 문법, 테마 설정 같은 기초부터 링크와 태그로 정보를 연결하고, 검색과 그래프로 노트를 시각화하는 핵심 기능까지 빠짐없이 다룹니다. 옵시디언을 처음 접하는 독자라면 이 한 권이 곧 완벽한 입문서다.<br/><br/>한쪽에는 책을, 한쪽에는 옵시디언을 열고 따라하며 '아이디어를 기록하고, 정리하고, AI로 확장하는 것이 무엇인지' 경험해보자. 이 책을 다 읽으면 옵시디언이 남의 도구가 아닌 나의 도구로 느껴질 것이다. 더 나아가 AI와 함께 진화하는 나만의 두 번째 뇌를 구축하기 바란다."
39,175110068,요즘 바이브 코딩 코덱스 완벽 가이드,윤재원 저,골든래빗,2026년 02월,"25,200","28,000",10.0,9.8,36,"6,675",https://www.yes24.com/product/goods/175110068,"<b>* 진짜 개발자는 코덱스를 어떻게 사용할까? 진짜 개발자의 노하우를 배워보자!</b><br/><b>* 이론부터 구현까지 빠르고 탄탄하게, 코덱스로 완성하는 실전 바이브 코딩! </b><br/><b>* 초보자가 놓치기 쉬운 프롬프트 엔지니어링의 기초부터 Spec Kit, MCP, 스킬 활용법까지!</b><br/><br/>진짜 개발자는 인공지능 에이전트를 어떻게 사용할까요? 그리고 코덱스는 어떻게 사용해야 제대로 쓰는 걸까요? 국내 대형 플랫폼 기업에서 실제로 에이전트를 활용하는 개발자에게 직접 배워보세요. 400명 이상의 멘토링으로 검증된 '바이브 코딩/에이전틱 코딩' 실전 프레임워크를 통해 개발 생산성과 결과물의 정합성을 함께 끌어올린 저자의 실무 노하우를 이 책에 모두 담았습니다. 이 책의 가이드와 함께라면 누구나 숙련된 개발자처럼 결과물을 만들어낼 수 있어요. 한마디로 '코덱스의 가장 완벽한 가이드'라고 할 수 있죠. <br/><br/>프롬프트 엔지니어링, 컨텍스트 엔지니어링과 같은 프롬프트와 컨텍스트를 제대로 관리하는 방법부터 개발 문서가 프로젝트로 구현되는 Spec Kit, 에이전트에 날개를 달아줄 MCP, 스킬 활용법까지 모두 다루고 있습니다. 지금까지 단순 프롬프트 입력만으로 제대로 된 결과물이 나오지 않아 실망하셨던 적이 있으신가요? 그렇다면 이 책과 함께 완전히 새로운 경험을 시작해보세요!<br/><br/><b>* 결과물의 퀄리티를 결정짓는 AGENTS.md 작성부터 효율적인 작업을 위한 스킬 활용법까지</b><br/><b>* 에이전트 개발로 최적화하는 과정을 구체적으로 배우는 실습서</b><br/><b>* v0를 통한 UI 설계, PRD와 Spec Kit 워크플로 적용, MCP + 스킬 사용으로 매끄러운 개발해보기</b><br/><br/>프롬프트만 입력해서는 제대로 된 결과물을 얻기 어렵습니다. 이 책에서는 결과물의 퀄리티를 결정하는 AGENTS.md 작성법부터 효율적인 작업을 위한 멀티 프로필 설정, 그리고 스킬(Skills) 활용법까지 차근차근 안내해 드립니다. 이 과정을 따라가다 보면 여러분만의 최적화된 AI 개발 환경을 구축하실 수 있을 거예요.<br/><br/>비개발자분들도 걱정하지 마세요. v0를 활용한 UI 설계부터 수파베이스를 이용한 데이터베이스 연동, MCP와 API를 통한 외부 데이터 연동까지 실무에서 바로 활용할 수 있는 고급 테크닉을 친절한 실습과 함께 배우실 수 있도록 준비했습니다. 특히 제품 요구 사항 정의서인 PRD와 Spec Kit 워크플로를 통해 기획을 코드로 변환하고, 이것이 실제 서비스로 이어지는 매끄러운 경험을 직접 해보실 수 있을 거예요."
40,144648441,구글 시트로 스마트한 학교 만들기 : 교사를 위한 스프레드시트 활용 가이드,"지미정, 장성진, 유병선 저",앤써북,2025년 04월,"21,960","24,400",10.0,9.9,17,"18,465",https://www.yes24.com/product/goods/144648441,"『구글 시트로 스마트한 학교 만들기』는 구글 시트 찐 프로 현직 교사 3인이 유치원·어린이집 및 초·중·고 교사가 수업 준비, 학급 운영, 반복적인 행정 업무에 당장 활용할 수 있는 구체적인 방법과 실습을 소개하는 실전 활용서이다. 이 책은 교육 현장에서 교사들이 직면하는 문제들을 해결하고, 수업과 학급 운영, 행정 업무, 담임 업무, 일정 관리 등의 업무 효율화를 돕기 위해 만들어졌다. 구글 시트(스프레드시트)는 단순한 표 작성 도구를 넘어 학급 운영, 성적 관리, 데이터 분석 등 다양한 방식으로 활용할 수 있는 강력한 도구이다. 하지만 처음 접하면 복잡하게 느껴질 수 있고, 익숙해지기 전까지는 ""나와는 맞지 않을 것 같다""라는 생각이 들기도 한다. <br/><br/>교육은 끊임없는 변화 속에서도 흔들리지 않는 가치를 지켜가는 여정이다. 매일 마주하는 반복적인 행정 업무, 담임 업무, 학급 운영, 평가 관리, 수업 준비에 대한 고민은 ""어떻게 하면 본질인 수업에 더 집중할 수 있을까?""라는 질문으로 이어진다. 이 책은 바로 그 질문에서 시작되었다. ""이걸 정말 써야 할까?"", ""내 수업에 도움이 될까?"", ""과연 효과가 있을까?"" 이 책은 그런 고민에 대한 작은 답을 구체적으로 제안한다. 단순히 구글 시트의 기능과 기술을 익히는 것이 아니라, ""어떻게 하면 학생들에게 더 의미 있는 배움의 기회를 만들 수 있을까?""라는 질문에 대한 해답을 다양한 실습 예제를 통해 함께 찾아가는 여정일 것이다.<br/><br/>그래서 이 책은 처음 시작하는 선생님도 쉽게 따라 할 수 있도록 구성했다. 단순한 기능 나열이 아니라, 실제 교육 현장에서 바로 적용할 수 있는 실용적인 예제와 템플릿을 담았다. 하나하나 따라 하다 보면, 어느새 학교 현장에서 유용한 도구를 자신만의 방식으로 활용하는 모습을 발견하게 될 것이다. 실습에 바로 사용할 수 있도록 저자의 오랜 경험을 통해 만든 알토란 같은 실습 예제의 템플릿을 제공한다. 제공하는 템플릿은 교육 현장에 바로 응용할 수 있는 아주 유용한 자료가 될 것이다. 또한 이 책은 동영상 강의와 함께 제공되어, 어려운 실습 과정을 눈으로 보고 바로 따라할 수 있어 이해는 빠르게, 활용은 쉽게 할 수 있다. <br/>"
41,193361186,AI가 두려운 당신에게,"배경훈, 과학기술정보통신부 저",한빛미디어,2026년 07월,"16,020","17,800",10.0,9.9,26,"6,630",https://www.yes24.com/product/goods/193361186,"<b>25년 차 AI 연구자이자 현직 정책 책임자가 답하는 지금 우리에게 필요한 AI 생존 문답<br/><br/>AI 시대의 진짜 격차는<br/>써본 사람과 두려워하는 사람 사이에서 벌어집니다<br/></b><br/>좋은 질문을 던지는 능력이야말로 고도의 사고 능력이다.<br/>- 젠슨 황(엔비디아 CEO)<br/><br/>""우리 아이, 코딩까지 가르쳐야 할까요?""<br/>""도구 잘 쓰는 신입 옆에서 마흔의 저는 뭘 배워야 하죠?""<br/>""우리 공장은, 제 일자리는 어떻게 되나요?""<br/><br/>AI가 두려운 시대입니다.<br/>그런데 정말 두려운 것은 AI 자체가 아닙니다.<br/>나만 모른 채, 나만 쓰지 못한 채, 변화가 지나가면 돌이킬 수 없습니다.<br/><br/>AI는 이미 우리 아이의 책상, 직장인의 모니터, 회사의 보안 규정, 공장의 생산라인, 병원의 진료실, 국가의 미래 전략 안으로 들어왔습니다. 대한민국 최초의 기업 연구자 출신 부총리이자 인공지능 전문가인 배경훈 부총리가, 과학기술정보통신부와 함께 국민이 가장 궁금해하는 AI 질문 14가지에 답합니다."
42,192878493,딥 유토피아,닉 보스트롬 저/김의석 역,까치(까치글방),2026년 05월,"25,200","28,000",10.0,,0,"1,416",https://www.yes24.com/product/goods/192878493,"[<b>슈퍼인텔리전스]에서 인공지능의 위험성을 경고했던 닉 보스트롬!</b><br/><b>초지능 출현 이후의 시대를 예측하다!</b><br/><b>모든 것이 완벽하게 해결된 유토피아에서 우리는 무엇을 할까?</b><br/><br/>* 최고의 AI 책 「인포메이션」 / 올해의 책 「커커스 리뷰」*<br/>* 인디펜던트 프레스 어워즈 / 아메리칸 레거시 북 어워즈 *<br/>* 리빙 나우 북 어워즈 골드 메달 / 펜크래프트 북 어워즈 수상 *<br/> <br/>AI에 대한 전 세계적인 논의의 출발점이 된 󰡔슈퍼인텔리전스󰡕에서 초지능으로의 개발 경로를 짚어보고 초지능의 위험성을 엄중하게 경고했던 닉 보스트롬은 신작에서 방향을 완전히 바꾼다. 󰡔딥 유토피아󰡕에서는 만약 우리의 초지능 개발이 완전히 성공해서 기술이 모든 문제를 모조리 해결한 완벽한 유토피아가 도래한다면, 인간은 어떤 삶을 살아갈 것인가를 살펴본다. 노동이 필요 없어진 세계에서 인간은 여전히 일을 할 것인가? 지금 우리를 고민에 빠뜨리는 문제들이 해결된 세상에서 인간에게 남은 것은 과연 무엇인가? 그런 완벽한 세계에서 우리는 인간의 어디에서 삶의 의미를 찾을 수 있는가? 이 책은 이런 문제의식에서 출발하여 인간이 처할 수 있는 다양한 상황을 제시하고 그에 대해서 고민해볼 것들을 제안한다. AI의 발전이 인간의 삶에 미치는 영향력이 날로 커져가는 지금, 이 책은 󰡔슈퍼인텔리전스󰡕와 마찬가지로 다시 한번 시대를 앞서 나가며, 독자들에게 심오한 질문을 던진다."
43,192509680,요즘 교사를 위한 AI×에듀테크 가이드 음악&미술 수업 편 with 2022 개정 교육과정,"김태선, 조민의 저",한빛미디어,2026년 06월,"18,900","21,000",10.0,9.9,95,"2,331",https://www.yes24.com/product/goods/192509680,"<b>AI와 에듀테크로 펼치는 무한한 상상, 교실을 스튜디오로 바꾼다!</b><br/><b>악보를 몰라도 작곡하고, 솜씨가 없어도 명화를 그리는 음악·미술 수업을 설계하세요.</b><br/><b>*교실에 바로 쓰는 47가지 실전 수업 시나리오와 단계별 가이드 수록</b><br/><b>*키큰쌤 & 인공지능미니쌤 저자 직강 유튜브 영상 제공</b><br/><br/>프롬프트 몇 줄이면 그림이 그려지고 음악이 뚝딱 완성되는 시대다. 하지만 놀라운 기술 뒤에는 ‘이 많은 도구를 다 알아야 하나’, ‘예술 수업에 어떻게 써야 하나’ 하는 막막함이 따라온다. 이 책은 이러한 교실 현장의 고민에 따뜻한 손을 내미는 음악·미술 교과 중심 AI×에듀테크 실천 가이드다. 현직 초등교사인 두 저자가 2022 개정 교육과정을 기반으로 실제 교실에서 아이들과 함께 호흡하며 꼼꼼히 검증한 활동들만 엄선해 담았다.<br/><br/>단계별 가이드를 따라가다 보면 악보 없이도 비트를 창작하고 장르를 바꾸며 나만의 음악을 완성하는 교실, 직접 만든 그림책과 네 컷 웹툰으로 학급 전시회를 여는 교실을 만날 수 있다. 더 나아가 미술 작품을 음악으로 재해석하고, 음악을 그림책과 음악극으로 확장하는 차별화된 예술 융합 수업까지 완성한다. 이 책은 교사가 기술을 익혀야 한다는 부담을 덜어주고 아이들의 예술적 소통과 성장에 온전히 집중할 수 있는 귀한 시간을 되찾아 줄 것이다."
